batch_number,yaml_file,page_kind,page_index,page_name,store_results,page_id,pair_id,pair_role
2,marcussen_batch_02.yaml,trial,53,Trial 053,True,834,834,cross_organ_main
2,marcussen_batch_02.yaml,trial,54,Trial 054,True,2403,2403,cross_organ_main
2,marcussen_batch_02.yaml,trial,55,Trial 055,True,350,350,same_pipe_reference
2,marcussen_batch_02.yaml,trial,56,Trial 056,True,237,237,cross_organ_main
2,marcussen_batch_02.yaml,trial,57,Trial 057,True,625,625,cross_organ_main
2,marcussen_batch_02.yaml,trial,58,Trial 058,True,1271,1271,cross_organ_main
2,marcussen_batch_02.yaml,trial,59,Trial 059,True,2054,2054,cross_organ_main
2,marcussen_batch_02.yaml,trial,60,Trial 060,True,752,752,cross_organ_main
2,marcussen_batch_02.yaml,trial,61,Trial 061,True,97,97,cross_organ_main
2,marcussen_batch_02.yaml,trial,62,Trial 062,True,1311,1311,cross_organ_main
2,marcussen_batch_02.yaml,trial,63,Trial 063,True,929,929,cross_organ_main
2,marcussen_batch_02.yaml,trial,64,Trial 064,True,1159,1159,cross_organ_main
2,marcussen_batch_02.yaml,trial,65,Trial 065,True,1200,1200,cross_organ_main
2,marcussen_batch_02.yaml,trial,66,Trial 066,True,965,965,cross_organ_main
2,marcussen_batch_02.yaml,trial,67,Trial 067,True,1665,1665,cross_organ_main
2,marcussen_batch_02.yaml,trial,68,Trial 068,True,812,812,cross_organ_main
2,marcussen_batch_02.yaml,trial,69,Trial 069,True,2849,2849,same_organ_anchor
3,marcussen_batch_03.yaml,example,1,Example 001,False,example_001_pair_1927,1927,same_pipe_reference
3,marcussen_batch_03.yaml,example,2,Example 002,False,example_002_pair_2656,2656,same_organ_anchor
3,marcussen_batch_03.yaml,trial,1,Trial 001,True,581,581,cross_organ_main
3,marcussen_batch_03.yaml,trial,2,Trial 002,True,1194,1194,cross_organ_main
3,marcussen_batch_03.yaml,trial,3,Trial 003,True,1986,1986,same_pipe_reference
3,marcussen_batch_03.yaml,trial,4,Trial 004,True,1870,1870,cross_organ_main
3,marcussen_batch_03.yaml,trial,5,Trial 005,True,2046,2046,cross_organ_main
3,marcussen_batch_03.yaml,trial,6,Trial 006,True,694,694,cross_organ_main
3,marcussen_batch_03.yaml,trial,7,Trial 007,True,2059,2059,cross_organ_main
3,marcussen_batch_03.yaml,trial,8,Trial 008,True,1270,1270,cross_organ_main
3,marcussen_batch_03.yaml,trial,9,Trial 009,True,574,574,cross_organ_main
3,marcussen_batch_03.yaml,trial,10,Trial 010,True,324,324,cross_organ_main
3,marcussen_batch_03.yaml,trial,11,Trial 011,True,2288,2288,cross_organ_main
3,marcussen_batch_03.yaml,trial,12,Trial 012,True,711,711,cross_organ_main
3,marcussen_batch_03.yaml,trial,13,Trial 013,True,1890,1890,cross_organ_main
3,marcussen_batch_03.yaml,trial,14,Trial 014,True,2340,2340,cross_organ_main
3,marcussen_batch_03.yaml,trial,15,Trial 015,True,482,482,cross_organ_main
3,marcussen_batch_03.yaml,trial,16,Trial 016,True,81,81,cross_organ_main
3,marcussen_batch_03.yaml,trial,17,Trial 017,True,1470,1470,cross_organ_main
3,marcussen_batch_03.yaml,trial,18,Trial 018,True,1807,1807,cross_organ_main
3,marcussen_batch_03.yaml,trial,19,Trial 019,True,1722,1722,cross_organ_main
3,marcussen_batch_03.yaml,trial,20,Trial 020,True,1498,1498,cross_organ_main
3,marcussen_batch_03.yaml,trial,21,Trial 021,True,1462,1462,cross_organ_main
3,marcussen_batch_03.yaml,trial,22,Trial 022,True,1977,1977,cross_organ_main
3,marcussen_batch_03.yaml,trial,23,Trial 023,True,2187,2187,cross_organ_main
3,marcussen_batch_03.yaml,trial,24,Trial 024,True,1573,1573,cross_organ_main
3,marcussen_batch_03.yaml,trial,25,Trial 025,True,968,968,cross_organ_main
3,marcussen_batch_03.yaml,trial,26,Trial 026,True,1017,1017,cross_organ_main
3,marcussen_batch_03.yaml,trial,27,Trial 027,True,1899,1899,cross_organ_main
3,marcussen_batch_03.yaml,trial,28,Trial 028,True,1165,1165,cross_organ_main
3,marcussen_batch_03.yaml,trial,29,Trial 029,True,642,642,cross_organ_main
3,marcussen_batch_03.yaml,trial,30,Trial 030,True,1609,1609,cross_organ_main
3,marcussen_batch_03.yaml,trial,31,Trial 031,True,673,673,cross_organ_main
3,marcussen_batch_03.yaml,trial,32,Trial 032,True,1431,1431,cross_organ_main
3,marcussen_batch_03.yaml,trial,33,Trial 033,True,145,145,cross_organ_main
3,marcussen_batch_03.yaml,trial,34,Trial 034,True,1208,1208,cross_organ_main
3,marcussen_batch_03.yaml,trial,35,Trial 035,True,385,385,cross_organ_main
3,marcussen_batch_03.yaml,trial,36,Trial 036,True,1835,1835,cross_organ_main
3,marcussen_batch_03.yaml,trial,37,Trial 037,True,172,172,cross_organ_main
3,marcussen_batch_03.yaml,trial,38,Trial 038,True,513,513,cross_organ_main
3,marcussen_batch_03.yaml,trial,39,Trial 039,True,1189,1189,cross_organ_main
3,marcussen_batch_03.yaml,trial,40,Trial 040,True,1599,1599,cross_organ_main
3,marcussen_batch_03.yaml,trial,41,Trial 041,True,904,904,cross_organ_main
3,marcussen_batch_03.yaml,trial,42,Trial 042,True,1,1,cross_organ_main
3,marcussen_batch_03.yaml,trial,43,Trial 043,True,463,463,cross_organ_main
3,marcussen_batch_03.yaml,trial,44,Trial 044,True,1522,1522,cross_organ_main
3,marcussen_batch_03.yaml,trial,45,Trial 045,True,2675,2675,same_organ_anchor
3,marcussen_batch_03.yaml,trial,46,Trial 046,True,873,873,cross_organ_main
3,marcussen_batch_03.yaml,trial,47,Trial 047,True,1349,1349,cross_organ_main
3,marcussen_batch_03.yaml,trial,48,Trial 048,True,1399,1399,cross_organ_main
3,marcussen_batch_03.yaml,trial,49,Trial 049,True,1068,1068,cross_organ_main
3,marcussen_batch_03.yaml,trial,50,Trial 050,True,313,313,cross_organ_main
3,marcussen_batch_03.yaml,trial,51,Trial 051,True,159,159,cross_organ_main
3,marcussen_batch_03.yaml,trial,52,Trial 052,True,2157,2157,cross_organ_main
3,marcussen_batch_03.yaml,trial,53,Trial 053,True,955,955,cross_organ_main
3,marcussen_batch_03.yaml,trial,54,Trial 054,True,1683,1683,cross_organ_main
3,marcussen_batch_03.yaml,trial,55,Trial 055,True,1149,1149,cross_organ_main
3,marcussen_batch_03.yaml,trial,56,Trial 056,True,1376,1376,cross_organ_main
3,marcussen_batch_03.yaml,trial,57,Trial 057,True,92,92,cross_organ_main
3,marcussen_batch_03.yaml,trial,58,Trial 058,True,1252,1252,cross_organ_main
3,marcussen_batch_03.yaml,trial,59,Trial 059,True,104,104,cross_organ_main
3,marcussen_batch_03.yaml,trial,60,Trial 060,True,1592,1592,cross_organ_main
3,marcussen_batch_03.yaml,trial,61,Trial 061,True,1511,1511,cross_organ_main
3,marcussen_batch_03.yaml,trial,62,Trial 062,True,849,849,cross_organ_main
3,marcussen_batch_03.yaml,trial,63,Trial 063,True,303,303,cross_organ_main
3,marcussen_batch_03.yaml,trial,64,Trial 064,True,96,96,same_pipe_reference
3,marcussen_batch_03.yaml,trial,65,Trial 065,True,2564,2564,same_organ_anchor
3,marcussen_batch_03.yaml,trial,66,Trial 066,True,764,764,cross_organ_main
3,marcussen_batch_03.yaml,trial,67,Trial 067,True,2020,2020,cross_organ_main
3,marcussen_batch_03.yaml,trial,68,Trial 068,True,1156,1156,cross_organ_main
3,marcussen_batch_03.yaml,trial,69,Trial 069,True,998,998,cross_organ_main
4,marcussen_batch_04.yaml,example,1,Example 001,False,example_001_pair_769,769,same_pipe_reference
4,marcussen_batch_04.yaml,example,2,Example 002,False,example_002_pair_2561,2561,same_organ_anchor
4,marcussen_batch_04.yaml,trial,1,Trial 001,True,364,364,cross_organ_main
4,marcussen_batch_04.yaml,trial,2,Trial 002,True,1651,1651,cross_organ_main
4,marcussen_batch_04.yaml,trial,3,Trial 003,True,895,895,cross_organ_main
4,marcussen_batch_04.yaml,trial,4,Trial 004,True,2112,2112,cross_organ_main
4,marcussen_batch_04.yaml,trial,5,Trial 005,True,1748,1748,cross_organ_main
4,marcussen_batch_04.yaml,trial,6,Trial 006,True,552,552,cross_organ_main
4,marcussen_batch_04.yaml,trial,7,Trial 007,True,1412,1412,cross_organ_main
4,marcussen_batch_04.yaml,trial,8,Trial 008,True,356,356,cross_organ_main
4,marcussen_batch_04.yaml,trial,9,Trial 009,True,732,732,cross_organ_main
4,marcussen_batch_04.yaml,trial,10,Trial 010,True,1398,1398,cross_organ_main
4,marcussen_batch_04.yaml,trial,11,Trial 011,True,604,604,cross_organ_main
4,marcussen_batch_04.yaml,trial,12,Trial 012,True,1439,1439,cross_organ_main
4,marcussen_batch_04.yaml,trial,13,Trial 013,True,1737,1737,same_pipe_reference
4,marcussen_batch_04.yaml,trial,14,Trial 014,True,425,425,cross_organ_main
4,marcussen_batch_04.yaml,trial,15,Trial 015,True,2264,2264,cross_organ_main
4,marcussen_batch_04.yaml,trial,16,Trial 016,True,2134,2134,cross_organ_main
4,marcussen_batch_04.yaml,trial,17,Trial 017,True,1809,1809,cross_organ_main
4,marcussen_batch_04.yaml,trial,18,Trial 018,True,1675,1675,cross_organ_main
4,marcussen_batch_04.yaml,trial,19,Trial 019,True,1779,1779,cross_organ_main
4,marcussen_batch_04.yaml,trial,20,Trial 020,True,181,181,cross_organ_main
4,marcussen_batch_04.yaml,trial,21,Trial 021,True,164,164,cross_organ_main
4,marcussen_batch_04.yaml,trial,22,Trial 022,True,1910,1910,cross_organ_main
4,marcussen_batch_04.yaml,trial,23,Trial 023,True,1242,1242,cross_organ_main
4,marcussen_batch_04.yaml,trial,24,Trial 024,True,1671,1671,cross_organ_main
4,marcussen_batch_04.yaml,trial,25,Trial 025,True,1453,1453,cross_organ_main
4,marcussen_batch_04.yaml,trial,26,Trial 026,True,135,135,cross_organ_main
4,marcussen_batch_04.yaml,trial,27,Trial 027,True,416,416,cross_organ_main
4,marcussen_batch_04.yaml,trial,28,Trial 028,True,2548,2548,same_organ_anchor
4,marcussen_batch_04.yaml,trial,29,Trial 029,True,62,62,cross_organ_main
4,marcussen_batch_04.yaml,trial,30,Trial 030,True,2257,2257,cross_organ_main
4,marcussen_batch_04.yaml,trial,31,Trial 031,True,2215,2215,cross_organ_main
4,marcussen_batch_04.yaml,trial,32,Trial 032,True,2237,2237,cross_organ_main
4,marcussen_batch_04.yaml,trial,33,Trial 033,True,2744,2744,same_organ_anchor
4,marcussen_batch_04.yaml,trial,34,Trial 034,True,205,205,cross_organ_main
4,marcussen_batch_04.yaml,trial,35,Trial 035,True,1328,1328,cross_organ_main
4,marcussen_batch_04.yaml,trial,36,Trial 036,True,2377,2377,cross_organ_main
4,marcussen_batch_04.yaml,trial,37,Trial 037,True,1840,1840,cross_organ_main
4,marcussen_batch_04.yaml,trial,38,Trial 038,True,23,23,cross_organ_main
4,marcussen_batch_04.yaml,trial,39,Trial 039,True,1574,1574,cross_organ_main
4,marcussen_batch_04.yaml,trial,40,Trial 040,True,1079,1079,cross_organ_main
4,marcussen_batch_04.yaml,trial,41,Trial 041,True,1537,1537,cross_organ_main
4,marcussen_batch_04.yaml,trial,42,Trial 042,True,1733,1733,cross_organ_main
4,marcussen_batch_04.yaml,trial,43,Trial 043,True,2175,2175,cross_organ_main
4,marcussen_batch_04.yaml,trial,44,Trial 044,True,2282,2282,cross_organ_main
4,marcussen_batch_04.yaml,trial,45,Trial 045,True,1612,1612,cross_organ_main
4,marcussen_batch_04.yaml,trial,46,Trial 046,True,1543,1543,cross_organ_main
4,marcussen_batch_04.yaml,trial,47,Trial 047,True,969,969,cross_organ_main
4,marcussen_batch_04.yaml,trial,48,Trial 048,True,445,445,cross_organ_main
4,marcussen_batch_04.yaml,trial,49,Trial 049,True,2304,2304,cross_organ_main
4,marcussen_batch_04.yaml,trial,50,Trial 050,True,2169,2169,cross_organ_main
4,marcussen_batch_04.yaml,trial,51,Trial 051,True,1346,1346,cross_organ_main
4,marcussen_batch_04.yaml,trial,52,Trial 052,True,1987,1987,same_pipe_reference
4,marcussen_batch_04.yaml,trial,53,Trial 053,True,2010,2010,cross_organ_main
4,marcussen_batch_04.yaml,trial,54,Trial 054,True,546,546,cross_organ_main
4,marcussen_batch_04.yaml,trial,55,Trial 055,True,2158,2158,cross_organ_main
4,marcussen_batch_04.yaml,trial,56,Trial 056,True,1624,1624,cross_organ_main
4,marcussen_batch_04.yaml,trial,57,Trial 057,True,1253,1253,cross_organ_main
4,marcussen_batch_04.yaml,trial,58,Trial 058,True,957,957,cross_organ_main
4,marcussen_batch_04.yaml,trial,59,Trial 059,True,467,467,cross_organ_main
4,marcussen_batch_04.yaml,trial,60,Trial 060,True,1118,1118,cross_organ_main
4,marcussen_batch_04.yaml,trial,61,Trial 061,True,2270,2270,cross_organ_main
4,marcussen_batch_04.yaml,trial,62,Trial 062,True,1586,1586,cross_organ_main
4,marcussen_batch_04.yaml,trial,63,Trial 063,True,1580,1580,cross_organ_main
4,marcussen_batch_04.yaml,trial,64,Trial 064,True,612,612,cross_organ_main
4,marcussen_batch_04.yaml,trial,65,Trial 065,True,2207,2207,cross_organ_main
4,marcussen_batch_04.yaml,trial,66,Trial 066,True,1929,1929,cross_organ_main
4,marcussen_batch_04.yaml,trial,67,Trial 067,True,86,86,cross_organ_main
4,marcussen_batch_04.yaml,trial,68,Trial 068,True,1772,1772,cross_organ_main
4,marcussen_batch_04.yaml,trial,69,Trial 069,True,454,454,cross_organ_main
5,marcussen_batch_05.yaml,example,1,Example 001,False,example_001_pair_539,539,same_pipe_reference
5,marcussen_batch_05.yaml,example,2,Example 002,False,example_002_pair_2467,2467,same_organ_anchor
5,marcussen_batch_05.yaml,trial,1,Trial 001,True,2450,2450,same_organ_anchor
5,marcussen_batch_05.yaml,trial,2,Trial 002,True,2239,2239,cross_organ_main
5,marcussen_batch_05.yaml,trial,3,Trial 003,True,1568,1568,cross_organ_main
